_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6117fbfcf039809de1347a52,,87.97,90.4,92.77,73.47,110;3,time,15,-1,1,15.00489000000016,0,2.86,false,false,english,none,normal,false,false,false,,1621533322661
6117fbfcf039809de1347a53,,82.36,92.92,82.36,60.39,103;0,time,15,-1,0,15.006489999999758,0,0,false,false,english,none,normal,false,false,false,,1621267196503
6117fbfcf039809de1347a54,,81.58,86.15,96.77,64.59,102;7,time,15,-1,0,15.00425999998697,0,0,false,false,english,none,normal,false,false,false,,1621267109540
6117fbfcf039809de1347a55,,91.18,89.55,99.98,77.44,114;3,time,15,-1,0,15.003094999992754,0,0,false,false,english,none,normal,false,false,false,,1619447823104
6117fbfcf039809de1347a56,,99.98,97.67,99.98,79.73,125;0,time,15,-1,0,15.003679999965243,0,0,false,false,english,none,normal,false,false,false,,1619447539275
6117fbfcf039809de1347a57,,66.39,84.55,96.79,71.42,83;10,time,15,-1,0,15.00214500000584,0,0,false,false,english,none,normal,false,false,false,,1616781996962
6117fbfcf039809de1347a58,,91.18,98.31,91.18,72.2,114;0,time,15,-1,3,15.003580000000074,0,10.56,false,false,english,none,normal,false,false,false,,1614814141571
6117fbfcf039809de1347a59,,79.99,93.81,87.99,81.95,100;1,time,15,-1,0,15.001699999999808,0,0,false,false,english,none,normal,false,false,false,,1614814079255
6117fbfcf039809de1347a5a,,77.58,91.82,83.98,72.88,97;2,time,15,-1,0,15.00367499999993,0,0,false,false,english,none,normal,false,false,false,,1614814059812
6117fbfcf039809de1347a5b,,96.8,94.66,99.2,69.15,121;1,time,15,-1,0,15.0005649999998,0,0,false,false,english,none,normal,false,false,false,,1614813979063
6117fbfcf039809de1347a5c,,95.99,94.53,95.99,74.37,120;0,time,15,-1,0,15.001390000000363,0,0,false,false,english,none,normal,false,false,false,,1614813940208
6117fbfcf039809de1347a5d,,95.19,96.75,95.19,70.73,119;0,time,15,-1,0,15.001729999999952,0,0,false,false,english,none,normal,false,false,false,,1614813912776
6117fbfcf039809de1347a5e,,75.99,89.09,78.39,66.36,95;2,time,15,-1,0,15.001899999999747,0,0,false,false,english,none,normal,false,false,false,,1614813889734
6117fbfcf039809de1347a5f,,87.17,94.83,87.17,76.17,109;0,time,15,-1,0,15.005994999999984,0,0,false,false,english,none,normal,false,false,false,,1614813845463
6117fbfcf039809de1347a60,,76.76,85.22,79.96,71.56,96;2,time,15,-1,0,15.008209999999963,0,0,false,false,english,none,normal,false,false,false,,1614813819471
6117fbfcf039809de1347a61,,94.37,96.77,94.37,81.54,118;0,time,15,-1,0,15.005329999999958,0,0,false,false,english,none,normal,false,false,false,,1614813764360
6117fbfcf039809de1347a62,,82.38,91.23,87.18,66.79,103;4,time,15,-1,0,15.00402000000031,0,0,false,false,english,none,normal,false,false,false,,1614813740282
6117fbfcf039809de1347a63,true,99.99,96.18,103.19,78.49,125;3,time,15,-1,0,15.00154999998631,0,0,false,false,english,none,normal,false,false,false,,1614466993191
6117fbfcf039809de1347a64,true,94.36,96.72,94.36,78.53,118;0,time,15,-1,0,15.006984999985434,0,0,false,false,english,none,normal,false,false,false,,1614466941198
6117fbfcf039809de1347a65,,19.2,55.71,51.19,30.75,24;15,time,15,-1,0,15.003720000000612,2,0,false,false,english,none,normal,false,false,false,,1608851233425
6117fbfcf039809de1347a66,true,65.58,89.9,73.58,65.99,82;2,time,15,-1,0,15.004189999999653,0,0,false,false,english,none,normal,false,false,false,,1608851141845
6117fbfcf039809de1347a67,,72.39,93.88,72.39,75.09,181;0,time,30,-1,0,30.002795000000333,0,0,false,false,english,none,normal,false,false,false,,1608850907983
6117fbfcf039809de1347a68,,65.58,91.76,65.58,63.17,164;0,time,30,-1,0,30.009095000000006,0,0,false,false,english,none,normal,false,false,false,,1608830240837
6117fbfcf039809de1347a69,,69.59,95.77,69.59,65.44,174;0,time,30,-1,0,30.00393000000008,0,0,false,false,english,none,normal,false,false,false,,1608830182716
6117fbfcf039809de1347a6a,,61.99,90.56,61.99,58.53,155;0,time,30,-1,0,30.003060000002733,0,0,false,false,english,none,normal,false,false,false,,1608772142475
6117fbfcf039809de1347a6b,true,79.59,95.69,79.59,72.65,199;0,time,30,-1,0,30.004424999999173,0,0,false,false,english,none,normal,false,false,false,,1608771484945
6117fbfcf039809de1347a6c,true,71.99,92.82,71.99,67.8,180;0,time,30,-1,0,30.005529999998544,0,0,false,false,english,none,normal,false,false,false,,1608771361717
6117fbfcf039809de1347a6d,true,67.19,92.55,69.99,69.47,168;0,time,30,-1,0,30.005400000001828,0,0,false,false,english,none,normal,false,false,false,,1608771249633
6117fbfcf039809de1347a6e,,69.19,92.55,69.19,62.72,173;0,time,30,-1,0,30.0054850000015,0,0,false,false,english,earthquake,normal,false,false,false,,1608771146315
